"REF_DATE","GEO","DGUID","Work activity during the reference year (9)","Age (15A)","Gender (3)","Statistics (3)","Occupation - Minor group - National Occupational Classification (NOC) 2021 (309A)","Employment income statistics (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","132 Transportation and production logistics coordinators and customs brokers and related broker occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.31.3","50400","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1320 Transportation and production logistics coordinators and customs brokers and related broker occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.32.1","57170","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1320 Transportation and production logistics coordinators and customs brokers and related broker occupations","With employment income","","0","units","0","","1.1.1.1.1.32.2","55305","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1320 Transportation and production logistics coordinators and customs brokers and related broker occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.32.3","50400","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","14 Administrative and financial support and supply chain logistics occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.33.1","968720","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","14 Administrative and financial support and supply chain logistics occupations","With employment income","","0","units","0","","1.1.1.1.1.33.2","915165","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","14 Administrative and financial support and supply chain logistics occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.33.3","35600","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","141 Office, court, and data support occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.34.1","453855","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","141 Office, court, and data support occupations","With employment income","","0","units","0","","1.1.1.1.1.34.2","421720","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","141 Office, court, and data support occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.34.3","28800","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1410 Office support and court services occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.35.1","388045","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1410 Office support and court services occupations","With employment income","","0","units","0","","1.1.1.1.1.35.2","363510","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1410 Office support and court services occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.35.3","29000","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1411 Survey, statistical and data entry occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.36.1","65810","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1411 Survey, statistical and data entry occupations","With employment income","","0","units","0","","1.1.1.1.1.36.2","58210","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1411 Survey, statistical and data entry occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.36.3","27200","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","142 Financial, insurance and related administrative support workers","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.37.1","216485","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","142 Financial, insurance and related administrative support workers","With employment income","","0","units","0","","1.1.1.1.1.37.2","205980","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","142 Financial, insurance and related administrative support workers","Median employment income ($)","","0","units","0","","1.1.1.1.1.37.3","42800","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1420 Financial, insurance and related administrative support workers","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.38.1","216485","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1420 Financial, insurance and related administrative support workers","With employment income","","0","units","0","","1.1.1.1.1.38.2","205980","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1420 Financial, insurance and related administrative support workers","Median employment income ($)","","0","units","0","","1.1.1.1.1.38.3","42800","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","143 Library, correspondence and other clerks","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.39.1","35935","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","143 Library, correspondence and other clerks","With employment income","","0","units","0","","1.1.1.1.1.39.2","34680","","","","0"
